index,title,type,date,year,month,month_name,date_sort,url,slug,img,source_page,source_method,topic_tags
1,"APEC Workshop on Leveraging Innovation-Driven Public-Private Partnerships to Enhance Food System Resilience: Summary Report","Proceedings","May 2026",2026,5,"May","2026-05","https://www.apec.org/publications/2026/05/apec-workshop-on-leveraging-innovation-driven-public-private-partnerships-to-enhance-food-system-resilience--summary-report","apec-workshop-on-leveraging-innovation-driven-public-private-partnerships-to-enhance-food-system-resilience--summary-report","https://www.apec.org/images/default-source/publication/2026/5/cover_226_ppfs_apec-workshop-on-leveraging-innovation-driven-public-private-partnerships.tmb-h300.jpg?Status=Master&Culture=en&sfvrsn=e50be01a_1",1,"api","health|agriculture"
2,"Workshop Summary Report on Managing Child Health for the Healthcare Workforce","Proceedings","May 2026",2026,5,"May","2026-05","https://www.apec.org/publications/2026/05/workshop-summary-report-on-managing-child-health-for-the-healthcare-workforce","workshop-summary-report-on-managing-child-health-for-the-healthcare-workforce","https://www.apec.org/images/default-source/publication/2026/5/cover_226_hwg_workshop-summary-report-on-managing-child-health-for-the-healthcare-workforce.tmb-h300.jpg?Status=Master&Culture=en&sfvrsn=9e3b4366_1",1,"api","health"
3,"APEC Report on Integrating Coastal Blue Carbon Ecosystems into Climate Policies","Proceedings","May 2026",2026,5,"May","2026-05","https://www.apec.org/publications/2026/05/apec-report-on-integrating-coastal-blue-carbon-ecosystems-into-climate-policies","apec-report-on-integrating-coastal-blue-carbon-ecosystems-into-climate-policies","https://www.apec.org/images/default-source/publication/2026/5/cover_226_ofwg_apec-report-on-integrating-coastal-blue-carbon-ecosystems-into-climate-policies.tmb-h300.jpg?Culture=en&sfvrsn=4448fb05_1",1,"api","sustainability"
4,"APEC Regional Trends Analysis, May 2026","Reports","May 2026",2026,5,"May","2026-05","https://www.apec.org/publications/2026/05/apec-regional-trends-analysis--may-2026","apec-regional-trends-analysis--may-2026","https://www.apec.org/images/default-source/publication/2026/5/cover_226_psu_arta-may-2026.tmb-h300.jpg?Culture=en&sfvrsn=8d36b9d8_1",1,"api",""
5,"Study on Sustainable Supply Chains in the APEC Region","Reports","May 2026",2026,5,"May","2026-05","https://www.apec.org/publications/2026/05/study-on-sustainable-supply-chains-in-the-apec-region","study-on-sustainable-supply-chains-in-the-apec-region","https://www.apec.org/images/default-source/publication/2026/5/cover_226_cti_study-on-sustainable-supply-chains-in-the-apec-region.tmb-h300.jpg?Culture=en&sfvrsn=3280b08a_1",1,"api","trade|sustainability"
6,"Sustainable Supply Chains within the APEC Region: Challenges, Progress, and Future Tasks","Proceedings","May 2026",2026,5,"May","2026-05","https://www.apec.org/publications/2026/05/sustainable-supply-chains-within-the-apec-region--challenges--progress--and-future-tasks","sustainable-supply-chains-within-the-apec-region--challenges--progress--and-future-tasks","https://www.apec.org/images/default-source/publication/2026/5/cover_226_cti_sustainable-supply-chains-within-the-apec-region.tmb-h300.jpg?Culture=en&sfvrsn=8bb9407f_1",1,"api","trade|sustainability"
7,"Improving Supply Chain Transparency with Digital Exchange of Traceability and ESG (Environmental, Social and Governance) Credentials to Facilitate APEC Trade Flows","Reports","May 2026",2026,5,"May","2026-05","https://www.apec.org/publications/2026/05/improving-supply-chain-transparency-with-digital-exchange-of-traceability-and-esg-(environmental--social-and-governance)-credentials-to-facilitate-apec-trade-flows","improving-supply-chain-transparency-with-digital-exchange-of-traceability-and-esg-(environmental--social-and-governance)-credentials-to-facilitate-apec-trade-flows","https://www.apec.org/images/default-source/publication/2026/5/cover_226_cti_improving-supply-chain-transparency.tmb-h300.jpg?Culture=en&sfvrsn=5c1b26b7_1",1,"api","digital|trade|sustainability|regulation"
8,"Technology Innovation Workshop for Environmental Monitoring Using Technologies Such as Artificial Intelligence and Big Data in Productive Activities","Reports","May 2026",2026,5,"May","2026-05","https://www.apec.org/publications/2026/05/technology-innovation-workshop-for-environmental-monitoring-using-technologies-such-as-artificial-intelligence-and-big-data-in-productive-activities","technology-innovation-workshop-for-environmental-monitoring-using-technologies-such-as-artificial-intelligence-and-big-data-in-productive-activities","https://www.apec.org/images/default-source/publication/2026/5/cover_226_desg_technology-innovation-workshop-for-environmental-monitoring.tmb-h300.jpg?Culture=en&sfvrsn=67c974b6_1",1,"api","digital|sustainability"
9,"Study on International Standards for Agriculture Financing","Reports","May 2026",2026,5,"May","2026-05","https://www.apec.org/publications/2026/05/study-on-international-standards-for-agriculture-financing","study-on-international-standards-for-agriculture-financing","https://www.apec.org/images/default-source/publication/2026/5/cover_226_ec_study-on-international-standards-for-agriculture-financing.tmb-h300.jpg?Culture=en&sfvrsn=2bfebc03_1",1,"api","finance|agriculture|regulation"
10,"Blue Citizen Community Indicators Research Report","Reports","May 2026",2026,5,"May","2026-05","https://www.apec.org/publications/2026/05/blue-citizen-community-indicators-research-report","blue-citizen-community-indicators-research-report","https://www.apec.org/images/default-source/publication/2026/5/cover_226_ofwg_blue-citizen-community-indicators-research-report.tmb-h300.jpg?Culture=en&sfvrsn=38c97f10_1",2,"api",""
11,"Advancing Supply Chain Resilience in APEC Economies Through 5G Smart Manufacturing","Reports","May 2026",2026,5,"May","2026-05","https://www.apec.org/publications/2026/05/advancing-supply-chain-resilience-in-apec-economies-through-5g-smart-manufacturing","advancing-supply-chain-resilience-in-apec-economies-through-5g-smart-manufacturing","https://www.apec.org/images/default-source/publication/2026/5/cover_226_ppsti_advancing-supply-chain-resilience.tmb-h300.jpg?Culture=en&sfvrsn=7cf3b74b_1",2,"api","digital|trade"
12,"Electric Fans Energy Efficiency Improvement in APEC Region: Review of Experience and Best Practices - Final Report","Proceedings","May 2026",2026,5,"May","2026-05","https://www.apec.org/publications/2026/05/electric-fans-energy-efficiency-improvement-in-apec-region--review-of-experience-and-best-practices---final-report","electric-fans-energy-efficiency-improvement-in-apec-region--review-of-experience-and-best-practices---final-report","https://www.apec.org/images/default-source/publication/2026/5/cover_226_ewg_electric-fans-energy-efficiency-improvement-in-apec-region.tmb-h300.jpg?Culture=en&sfvrsn=4e4ba5a8_1",2,"api","energy"
13,"Project Final Report - APEC Climate Symposium 2025 - Addressing APEC’s Climate Challenges: Complexity of Climate Change Adaptation and the Way Forward","Proceedings","April 2026",2026,4,"April","2026-04","https://www.apec.org/publications/2026/04/project-final-report---apec-climate-symposium-2025---addressing-apec-s-climate-challenges--complexity-of-climate-change-adaptation-and-the-way-forward","project-final-report---apec-climate-symposium-2025---addressing-apec-s-climate-challenges--complexity-of-climate-change-adaptation-and-the-way-forward","https://www.apec.org/images/default-source/publication/2026/4/cover_226_ppsti_apec-climate-symposium-2025.tmb-h300.jpg?Culture=en&sfvrsn=5bfdc73a_1",2,"api","sustainability"
14,"Driving Technical Cooperation to Enhance Capacity Building for Promoting Economic Empowerment and Entrepreneurial Leadership in Small-Scale Women Farmers Towards a Sustainable Future for All APEC Economies","Reports","April 2026",2026,4,"April","2026-04","https://www.apec.org/publications/2026/04/driving-technical-cooperation-to-enhance-capacity-building-for-promoting-economic-empowerment-and-entrepreneurial-leadership-in-small-scale-women-farmers-towards-a-sustainable-future-for-all-apec-economies","driving-technical-cooperation-to-enhance-capacity-building-for-promoting-economic-empowerment-and-entrepreneurial-leadership-in-small-scale-women-farmers-towards-a-sustainable-future-for-all-apec-economies","https://www.apec.org/images/default-source/publication/2026/4/cover_226_atcwg_driving-technical-cooperation-to-enhance-capacity-building.tmb-h300.jpg?Culture=en&sfvrsn=7ff9a8ad_1",2,"api","sustainability|women|agriculture"
15,"APEC Regional Framework for Healthy Aging","Reports","April 2026",2026,4,"April","2026-04","https://www.apec.org/publications/2026/04/apec-regional-framework-for-healthy-aging","apec-regional-framework-for-healthy-aging","https://www.apec.org/images/default-source/publication/2026/4/cover_226_hwg_apec-regional-framework-for-healthy-aging.tmb-h300.jpg?Culture=en&sfvrsn=71b65d6c_1",2,"api","health"
16,"APEC Capacity Building Program on ESG for MSMEs within the APEC Economies","Proceedings","April 2026",2026,4,"April","2026-04","https://www.apec.org/publications/2026/04/apec-capacity-building-program-on-esg-for-msmes-within-the-apec-economies","apec-capacity-building-program-on-esg-for-msmes-within-the-apec-economies","https://www.apec.org/images/default-source/publication/2026/4/cover_226_sme_apec-capacity-building-program-on-esg-for-msmes-within-the-apec-economies.tmb-h300.jpg?Culture=en&sfvrsn=be0d1d5e_1",2,"api","smes"
